시군명,명칭,주소,면적,취득일,데이터기준일자
안양시,희성놀이터화장실,경기도 안양시 동안구 비산동 1101-3,12.96,1995-02-28,2026-06-30
안양시,후생관(구내식당),경기도 안양시 만안구 안양로 175,315,2018-01-31,2026-06-30
안양시,화창경로당,경기도 안양시 만안구 화창로 84,144.18,1999-12-27,2026-06-30
안양시,화장실및 음수대,경기도 안양시 동안구 관양동 1609,47.61,2006-05-23,2026-06-30
안양시,평화공원 화장실,경기도 안양시 동안구 비산동 1104-2,61.67,2013-08-23,2026-06-30
안양시,호계 배드민턴장 화장실,경기도 안양시 동안구 엘에스로144번길 86,32.64,2006-09-21,2026-06-30
안양시,호현경로당,경기도 안양시 만안구 박달로275번길 39,175.56,1999-12-29,2026-06-30
안양시,호암배수지관리사택,경기도 안양시 만안구 경수대로 1352,57.96,1993-10-02,2026-06-30
안양시,호암공원 화장실,경기도 안양시 만안구 석수동 497-5,18.6,2016-04-30,2026-06-30
안양시,호계체육관,경기도 안양시 동안구 호계동 177-0,12391.3,2008-08-06,2026-06-30
안양시,호계배드민턴장,경기도 안양시 동안구 엘에스로144번길 86,1427.72,2013-11-04,2026-06-30
안양시,호계동복합청사,경기도 안양시 동안구 경수대로 504,9376.56,2014-10-17,2026-06-30
안양시,호계도서관본관동,경기도 안양시 동안구 경수대로685번길 26,1871.92,1997-06-28,2026-06-30
안양시,호계도서관별관동,경기도 안양시 동안구 경수대로685번길 26,993.65,1997-06-28,2026-06-30
안양시,호계공원테니스장락카룸및화장실,경기도 안양시 동안구 호계동 176-4,197.58,1999-10-25,2026-06-30
안양시,호계공원매점및화장실,경기도 안양시 동안구 호계동 335-113,84.64,2000-11-28,2026-06-30
안양시,호계3동 다목적복지회관,경기도 안양시 동안구 포도원로27번길 39,597.66,1994-12-26,2026-06-30
안양시,호계2동사무소,경기도 안양시 동안구 경수대로665번길 11,289.36,1995-05-09,2026-06-30
안양시,호계2동 다목적복지회관,경기도 안양시 동안구 경수대로 725,1189.05,1995-12-19,2026-06-30
안양시,호계1동사무소,경기도 안양시 동안구 경수대로 538,1271.52,1995-03-17,2026-06-30
안양시,호계1동노외주차장,경기도 안양시 동안구 흥안대로145번길 86,4039.02,2001-10-12,2026-06-30
안양시,호계1동 다목적복지회관,경기도 안양시 동안구 흥안대로145번길 32,2227.12,1998-11-28,2026-06-30
안양시,호계 고객문화센터,경기도 안양시 동안구 흥안대로133번길 59-2,146.99,2011-07-19,2026-06-30
안양시,협심어린이집,경기도 안양시 만안구 능곡로 21,432.53,1992-12-28,2026-06-30
안양시,협신경로당,경기도 안양시 만안구 양화로151번길 31,197.4,1998-05-27,2026-06-30
안양시,향토사료관,경기도 안양시 만안구 장내로143번길 8,300.78,2000-10-10,2026-06-30
안양시,향촌놀이터화장실,경기도 안양시 동안구 호계동 1054-4,53.46,1995-02-28,2026-06-30
안양시,해외질병차폐동,경기도 안양시 만안구 안양로 175,2883.36,2018-01-31,2026-06-30
안양시,해부제제실,경기도 안양시 만안구 안양로 175,137.62,2018-01-31,2026-06-30
안양시,해동놀이터 지하주차장,경기도 안양시 동안구 관악대로287번길 104-22,2620,2006-07-07,2026-06-30
안양시,해누리어린이집,경기도 안양시 만안구 안양동 1420,534.89,2021-02-28,2026-06-30
안양시,학운공원화장실,경기도 안양시 동안구 비산동 1099,13,1993-12-23,2026-06-30
안양시,학운공원관리사무소화장실,경기도 안양시 동안구 비산동 1100,18.48,1995-12-31,2026-06-30
안양시,학운공원관리사무소,경기도 안양시 동안구 비산동 1100,36.63,1995-02-28,2026-06-30
안양시,폐수처리동,경기도 안양시 동안구 흥안대로 313,102.2,1997-03-25,2026-06-30
안양시,평화공원화장실,경기도 안양시 동안구 비산동 1104-2,36,1995-02-28,2026-06-30
안양시,평촌청소년문화의집,경기도 안양시 동안구 흥안대로 394,748.49,2018-03-17,2026-06-30
안양시,평촌지하주차장,경기도 안양시 동안구 시민대로 지하 238,35254.2,1995-12-22,2026-06-30
안양시,평촌아트홀,경기도 안양시 동안구 평촌대로 86,7989.89,2004-06-30,2026-06-30
안양시,평촌스마트스퀘어 지하주차장,경기도 안양시 동안구 부림로170번길 20,5290.95,2015-04-29,2026-06-30
안양시,평촌배수지관리사택,경기도 안양시 동안구 호계동 806-1,66,1992-04-30,2026-06-30
안양시,평촌동사무소,경기도 안양시 동안구 흥안대로 394,312.97,1976-07-15,2026-06-30
안양시,평촌동 주민센터,경기도 안양시 동안구 흥안대로456번길 21,2891.66,2012-11-20,2026-06-30
안양시,평촌도서관,경기도 안양시 동안구 관평로 213,3642,1995-02-23,2026-06-30
안양시,평촌놀이터화장실,경기도 안양시 동안구 평촌동 897-6,12.96,1995-02-28,2026-06-30
안양시,평촌공원화장실,경기도 안양시 동안구 관평로 213,36,1995-02-28,2026-06-30
안양시,평촌공원관리사무소,경기도 안양시 동안구 관평로 213,36.63,1995-02-28,2026-06-30
안양시,평촌1번가 고객지원센터,경기도 안양시 동안구 평촌대로223번길 36,117.63,2022-07-19,2026-06-30
안양시,평안동사무소,경기도 안양시 동안구 관평로138번길 39,1106.96,1992-09-27,2026-06-30
안양시,평안놀이터화장실,경기도 안양시 동안구 평촌동 899-6,53.46,1995-02-28,2026-06-30
안양시,카네이션하우스,경기도 안양시 만안구 병목안로130번길 172-58,122,2017-08-02,2026-06-30
안양시,충훈중앙경로당,경기도 안양시 만안구 석수로178번길 28,72.4,2000-01-17,2026-06-30
안양시,충훈벌말경로당,경기도 안양시 만안구 충훈로71번길 15,146.92,2004-01-05,2026-06-30
안양시,초원놀이터화장실,경기도 안양시 동안구 평촌동 896-3,12.96,1995-02-28,2026-06-30
안양시,체육과및실내빙상장,경기도 안양시 동안구 평촌대로 389,45451.78,2000-10-31,2026-06-30
안양시,청소년수련관,경기도 안양시 동안구 동안로 155,13772.81,1998-10-30,2026-06-30
